Bus,Route number,Institute,Driver_Lat,Driver_Lon,PP_Lat,PP_Lon,Dead km,Dead_KM_Haversine
KA53AC0634,1,Chanakya,12.95832978,77.52538372,12.95832978,77.52538372,0,0
KA53AC0540,2,Chanakya,13.24946574,77.70871305,13.24946574,77.70871305,0,0
KA439840,1,Gitam,13.0173592,77.65740947,13.01097849,77.69519276,6,4.15443072
KA43A0245,2,Gitam,13.03309838,77.55387848,12.96780003,77.53609671,6,7.512090953
KA439841,3,Gitam,13.09902109,77.57423437,13.03458432,77.55748589,8,7.391134738
KA439842,4,Gitam,13.0173592,77.65740947,13.03201432,77.63069568,3,3.321273173
KA53B6963,5,Gitam,13.09902109,77.57423437,13.05806299,77.59263472,6,4.97129833
KA53AC0345,2,Amity,13.00814885,77.48480867,12.97379381,77.55029937,9.6,8.058800618
KA51B9664,3,Amity,13.30939173,77.53686262,13.20151361,77.44324468,5,15.70221155
KA51AJ8298,4,Amity,13.00877634,77.69236841,13.00877634,77.69236841,0,0
KA53AC0344,5,Amity,12.93474,77.690393,12.93474,77.690393,0,0
KA51AJ8291,6,Amity,12.98532739,77.60170877,12.96451233,77.64951354,4,5.673511945
KA51AJ8295,7,Amity,12.98532739,77.60170877,13.02894312,77.56772479,8,6.089115434
KA51AJ8296,8,Amity,13.03006532,77.5445838,13.03983339,77.51983235,4,2.892957829
KA53AB4252,9,Amity,13.09902109,77.57423437,13.09787623,77.59150171,2.4,1.874412354
KA53AB1810,1,Harrow,12.99613534,77.75778687,13.03086285,77.66512918,7,10.75555083
KA50A5968,2,Harrow,13.01708496,77.65737442,13.02020485,77.65650354,3,0.359516677
KA53AB1811,3,Harrow,12.98517583,77.60156932,12.95043947,77.64271461,9,5.898886989
KA53D5405,4,Harrow,13.09902109,77.57423437,13.06440911,77.57817455,8,3.87226416
KA53AB1808,5,Harrow,12.97446936,77.54513861,12.99380333,77.55603833,5,2.452872324
KA53D5162,1,MAHE,12.855323,77.6726,12.90782,77.60426,12.9,9.431381801
KA53D0166,2,MAHE,13.0699912,77.6037099,12.95573552,77.59277575,17.5,12.75975913
KA53B6965,3,MAHE,13.123265,77.592183,13.049924,77.592684,11.2,8.155327634
KA53D8420,4,MAHE,12.9248349,77.6494085,12.917237,77.623038,3.9,2.980274671
KA53D4606,5,MAHE,12.894084,77.5339296,12.93768849,77.51978608,7.6,5.08514296
KA53D8419,6,MAHE,13.1376759,77.4917919,13.04816628,77.50003502,14,9.992975311
KA53D5165,7,MAHE,12.9973183,77.503035,12.99823052,77.5530152,9,5.416103991
KA53D0158,8,MAHE,13.0839336,77.5604299,13.046461,77.555852,7,4.19616409
KA07A9086,9,MAHE,12.996444,77.716609,12.96990935,77.75017944,6.9,4.683642276
KA53D2958,10,MAHE,12.9965416,77.7164014,13.01992925,77.70958107,6,2.703528707
KA53D4609,11,MAHE,13.043178,77.613378,13.043178,77.613378,1,0
KA53D2719,12,MAHE,12.911063,77.626155,12.9252461,77.64906656,4.5,2.941655008
KA53B6967,13,MAHE,13.16007,77.57933,13.21327379,77.55474242,7.8,6.487279072
KA53B6964,14,MAHE,13.123265,77.592183,13.19362612,77.65020753,0,10.03410605
KA07A9089,15,MAHE,13.1584223,77.5839711,13.10627501,77.57654828,8.8,5.853960294
KA53AB1814,16,MAHE,13.106341,77.565936,13.0841,77.595852,6.2,4.075998476
KA53D0162,HBO 1,MAHE,13.123265,77.592183,13.115865,77.634098,7.7,4.613062568
KA01AC4662,HBO 1,MAHE,13.123265,77.592183,13.115865,77.634098,7.7,4.613062568
KA53D0155,HBO 1,MAHE,13.123265,77.592183,13.115865,77.634098,7.7,4.613062568
KA07A9091,HBO 1,MAHE,13.123265,77.592183,13.115865,77.634098,7.7,4.613062568
KA53D0157,HBO 3,MAHE,13.123265,77.592183,13.130166,77.68912,14,10.52526151
KA07A9134,HBO 3,MAHE,13.123265,77.592183,13.130166,77.68912,14,10.52526151
KA53B0163,HBO 3,MAHE,13.123265,77.592183,13.130166,77.68912,14,10.52526151
KA07A2722,Shuttle Service,MAHE,13.123265,77.592183,13.129882,77.571622,12,2.344962351
KA51B9235,Shuttle Service,MAHE,13.123265,77.592183,13.121939,77.610639,6,2.004054383
KA53B1064,3,NMIT,13.04326,77.52612,13.01372,77.554271,10,4.482156567
KA53D0153,4,NMIT,13.008376,77.693472,13.013098,77.699389,1,0.828634565
KA53B1072,5,NMIT,13.2045925,77.43500701,13.19925219,77.44294623,2,1.044655187
KA53B0960,6,NMIT,13.029787,77.536974,12.971702,77.512706,8.9,6.97343602
KA53B0958,8,NMIT,13.029787,77.536974,12.991787,77.463139,11.6,9.046709698
KA53B0952,17,NMIT,12.98616,77.663827,12.984592,77.663805,1,0.174369939
KA53B1075,18,NMIT,12.989325,77.712283,12.984834,77.749731,6.8,4.08812972
KA53B1061,23,NMIT,12.984566,77.518668,12.951249,77.500274,5.7,4.20681978
